"game_id","game_name","game_provider_name","game_category"
1,MARY,Happy Games,
2,PATRICIA,Gamz,
3,LINDA,Verri,
4,BARBARA,Jopsgame,Slots
5,ELIZABETH,Slotdream,
6,JENNIFER,Dumgames,Slots
7,MARIA,Casher,Slots
8,SUSAN,Camel games,Slots
9,MARGARET,Gaming kids,
10,DOROTHY,Gurras games,
11,LISA,Peteslots,Slots
12,NANCY,Berry,
13,KAREN,Lemon,
14,BETTY,Nextin,Slots
15,HELEN,Allin,Slots
16,SANDRA,Roppygamez,Slots
17,DONNA,Loober,Slots
18,CAROL,Kuzz,Slots
19,RUTH,Nowins,
20,SHARON,Fullhand,Slots
21,MICHELLE,Livgames,Slots
22,LAURA,Brakker,Slots
23,SARAH,Linnet gaming,Slots
24,KIMBERLY,Guns n games,Slots
25,DEBORAH,Gunsmit game,Slots
26,JESSICA,Verigood games,Slots
27,SHIRLEY,Asta games,Slots
28,CYNTHIA,Lifo games,Slots
29,ANGELA,Starter game,Slots
30,MELISSA,Lundqvist gaming,Slots
31,BRENDA,Matlock games,Slots
32,AMY,Flipper,Slots
33,ANNA,Snooz,Slots
34,REBECCA,Alarma,Slots
35,VIRGINIA,Okkult games,Slots
36,KATHLEEN,Viira games,Slots
37,PAMELA,Ypper software,Slots
38,MARTHA,Waller,Slots
39,DEBRA,Big or nothing,Slots
40,AMANDA,,Slots
41,STEPHANIE,Happy Games,Slots
42,CAROLYN,Gamz,Slots
43,CHRISTINE,Verri,Slots
44,MARIE,Jopsgame,Slots
45,JANET,Slotdream,Slots
46,CATHERINE,Dumgames,Slots
47,FRANCES,Casher,Slots
48,ANN,Camel games,Slots
49,JOYCE,Gaming kids,Slots
50,DIANE,Gurras games,Slots
51,ALICE,Peteslots,Slots
52,JULIE,Berry,Slots
53,HEATHER,Lemon,Slots
54,TERESA,Nextin,Slots
55,DORIS,Allin,Slots
56,GLORIA,Roppygamez,Slots
57,EVELYN,Loober,Slots
58,JEAN,Kuzz,Slots
59,CHERYL,Nowins,Slots
60,MILDRED,Fullhand,Slots
61,KATHERINE,Livgames,Slots
62,JOAN,Brakker,Slots
63,ASHLEY,Linnet gaming,Slots
64,JUDITH,Guns n games,Slots
65,ROSE,Gunsmit game,Slots
66,JANICE,Verigood games,Slots
67,KELLY,Asta games,Slots
68,NICOLE,Lifo games,Slots
69,JUDY,Starter game,Slots
70,CHRISTINA,Lundqvist gaming,Slots
71,KATHY,Matlock games,Slots
72,THERESA,Flipper,Slots
73,BEVERLY,Snooz,Slots
74,DENISE,Alarma,Slots
75,TAMMY,Okkult games,Slots
76,IRENE,Viira games,Slots
77,JANE,Ypper software,Slots
78,LORI,Waller,Slots
79,RACHEL,Big or nothing,Slots
80,MARILYN,,Slots
81,ANDREA,Happy Games,Slots
82,KATHRYN,Gamz,Slots
83,LOUISE,Verri,Slots
84,SARA,Jopsgame,Slots
85,ANNE,Slotdream,Slots
86,JACQUELINE,Dumgames,Slots
87,WANDA,Casher,Slots
88,BONNIE,Camel games,Slots
89,JULIA,Gaming kids,Slots
